pipeline_code_name,dataset_code_name,file_name,scheduler_start_date,scheduler_end_date,import_rec_count,valid_rec_count,Error_rec_count,dataset_moved_count,scheduler_status,errorlog_exception,import_by,scheduler_gid
"PIPE_0531 - IPDeposit-CB--Chennai--NI","DS426 - ClosingBalance-Chennai--NI","6. IP Deposit _Proton-Apr-May25 Q1-25.xlsx","2025-07-29 15:10:01","2025-07-29 15:10:02",0,0,0,0,Completed,NULL,System,8734
"PIPE_0531 - IPDeposit-CB--Chennai--NI","DS426 - ClosingBalance-Chennai--NI","6. IP Deposit_Greams Road - Apr-Jun 25 Q1-25.xlsx","2025-07-30 15:08:06","2025-07-30 15:08:19",0,0,0,0,Completed,NULL,System,8777
"PIPE_0531 - IPDeposit-CB--Chennai--NI","DS426 - ClosingBalance-Chennai--NI","6. IP Deposit_Children - Apr-Jun 25 Q1-25.xlsx","2025-07-30 17:31:37","2025-07-30 17:31:37",0,0,0,0,Completed,NULL,System,8797
"PIPE_0531 - IPDeposit-CB--Chennai--NI","DS426 - ClosingBalance-Chennai--NI","6. IP Deposit_First Med - Apr-Jun 25 Q1.xlsx","2025-07-31 11:07:23","2025-07-31 11:07:24",0,0,0,0,Completed,NULL,System,8819
"PIPE_0531 - IPDeposit-CB--Chennai--NI","DS426 - ClosingBalance-Chennai--NI","6. IP Deposit _Vanagaram-Apr-May25.xlsx","2025-08-01 11:14:50","2025-08-01 11:14:50",0,0,0,0,Completed,NULL,System,8875
"PIPE_0531 - IPDeposit-CB--Chennai--NI","DS426 - ClosingBalance-Chennai--NI","6. IP Deposit_OMR - Apr-Jun 25  Q1-25.xlsx","2025-08-01 14:37:10","2025-08-01 14:37:10",0,0,0,0,Completed,NULL,System,8906
"PIPE_0531 - IPDeposit-CB--Chennai--NI","DS426 - ClosingBalance-Chennai--NI","6. IP Deposit _Women&Child-Apr-Jun25 Q1-25.xlsx","2025-08-02 12:34:10","2025-08-02 12:34:11",0,0,0,0,Completed,NULL,System,8954
"PIPE_0531 - IPDeposit-CB--Chennai--NI","DS426 - ClosingBalance-Chennai--NI","6. IP Deposit _Teynampet-Apr-May25 Q1-25.xlsx","2025-08-02 12:45:40","2025-08-02 12:45:41",0,0,0,0,Completed,NULL,System,8974
"PIPE_0530 - IPRefund-CB-Chennai--NI","DS426 - ClosingBalance-Chennai--NI","Madurai Lake View , Madurai First med & Nellore IP Refund Pending Report Q1-25.xlsx","2025-07-31 18:47:52","0001-01-01 00:00:00",0,0,0,0,Failed,"There isn't a worksheet named 'Sheet1'.",System,8853
"PIPE_0530 - IPRefund-CB-Chennai--NI","DS426 - ClosingBalance-Chennai--NI","7. IP Refund _OMR - Apr-Jun 25  Q1-25.xlsx","2025-08-01 14:37:16","0001-01-01 00:00:00",0,0,0,0,Failed,"There isn't a worksheet named 'Sheet1'.",System,8907
"PIPE_0530 - IPRefund-CB-Chennai--NI","DS426 - ClosingBalance-Chennai--NI","Nellore IP Refund Pending Report.xlsx","2025-08-04 14:57:53","0001-01-01 00:00:00",0,0,0,0,Failed,"File Header Name Missmatch !",System,8989
"PIPE_0530 - IPRefund-CB-Chennai--NI","DS426 - ClosingBalance-Chennai--NI","Nellore IP Refund Pending Report.xlsx","2025-08-04 14:58:41","0001-01-01 00:00:00",0,0,0,0,Failed,"File Header Name Missmatch !",System,8990
"PIPE_0530 - IPRefund-CB-Chennai--NI","DS426 - ClosingBalance-Chennai--NI","7. IP Refund _Rourkela - Apr-June 25 Q1-25.xlsx","2025-07-25 12:54:20","2025-07-25 12:54:20",0,0,0,0,Completed,NULL,System,8542
"PIPE_0530 - IPRefund-CB-Chennai--NI","DS426 - ClosingBalance-Chennai--NI","7. IP Refund _Nellore - Apr-June 25 Q1-25.xlsx","2025-07-25 15:05:00","2025-07-25 15:05:00",0,0,0,0,Completed,NULL,System,8564
"PIPE_0530 - IPRefund-CB-Chennai--NI","DS426 - ClosingBalance-Chennai--NI","7. IP Refund _Tondiarpet-Apr-May25 Q1-25.xlsx","2025-07-28 17:34:28","2025-07-28 17:34:28",0,0,0,0,Completed,NULL,System,8681
"PIPE_0530 - IPRefund-CB-Chennai--NI","DS426 - ClosingBalance-Chennai--NI","7. IP Refund _Proton-Apr-May25 Q1-25.xlsx","2025-07-29 15:10:11","2025-07-29 15:10:11",0,0,0,0,Completed,NULL,System,8735
"PIPE_0530 - IPRefund-CB-Chennai--NI","DS426 - ClosingBalance-Chennai--NI","7. IP Refund _Greams Road - Apr-Jun 25 Q1-25.xlsx","2025-07-30 15:08:29","2025-07-30 15:08:30",0,0,0,0,Completed,NULL,System,8778
"PIPE_0530 - IPRefund-CB-Chennai--NI","DS426 - ClosingBalance-Chennai--NI","7. IP Refund _Children - Apr-Jun 25 Q1-25.xlsx","2025-07-30 17:31:44","2025-07-30 17:31:45",0,0,0,0,Completed,NULL,System,8798
"PIPE_0530 - IPRefund-CB-Chennai--NI","DS426 - ClosingBalance-Chennai--NI","7. IP Refund _First Med - Apr-Jun 25 Q1.xlsx","2025-07-31 11:07:10","2025-07-31 11:07:10",0,0,0,0,Completed,NULL,System,8818
"PIPE_0530 - IPRefund-CB-Chennai--NI","DS426 - ClosingBalance-Chennai--NI","Madurai Lake View , Madurai First med & Nellore IP Refund Pending Report Q1-25.xlsx","2025-07-31 18:48:20","2025-07-31 18:48:21",0,0,0,0,Completed,NULL,System,8854
"PIPE_0530 - IPRefund-CB-Chennai--NI","DS426 - ClosingBalance-Chennai--NI","Madurai Lake View , Madurai First med & Nellore IP Refund Pending Report Q1-25 1.xlsx","2025-07-31 19:01:46","2025-07-31 19:01:47",0,0,0,0,Completed,NULL,System,8857
"PIPE_0530 - IPRefund-CB-Chennai--NI","DS426 - ClosingBalance-Chennai--NI","7. IP Refund _Vanagaram-Apr-May25.xlsx","2025-08-01 11:14:44","2025-08-01 11:14:44",0,0,0,0,Completed,NULL,System,8874
"PIPE_0530 - IPRefund-CB-Chennai--NI","DS426 - ClosingBalance-Chennai--NI","7. IP Refund _OMR - Apr-Jun 25  Q1-25.xlsx","2025-08-01 14:37:40","2025-08-01 14:37:41",0,0,0,0,Completed,NULL,System,8908
"PIPE_0530 - IPRefund-CB-Chennai--NI","DS426 - ClosingBalance-Chennai--NI","7. IP Refund _Women&Child-Apr-Jun25 Q1-25.xlsx","2025-08-02 12:34:18","2025-08-02 12:34:19",0,0,0,0,Completed,NULL,System,8955
"PIPE_0530 - IPRefund-CB-Chennai--NI","DS426 - ClosingBalance-Chennai--NI","7. IP Refund _Teynampet-Apr-May25 Q1-25.xlsx","2025-08-02 12:45:46","2025-08-02 12:45:46",0,0,0,0,Completed,NULL,System,8975
"PIPE_0530 - IPRefund-CB-Chennai--NI","DS426 - ClosingBalance-Chennai--NI","Nellore IP Refund Pending Report.xlsx","2025-08-04 14:59:56","2025-08-04 14:59:56",0,0,0,0,Completed,NULL,System,8991
"PIPE_0529 - IPDeposit-CB--Hyderabad--NI","DS427 - ClosingBalance-Hyderabad-NI","6. IP Deposit _Secunderabad Q1-25.xlsx","2025-07-23 19:13:14","2025-07-23 19:13:14",0,0,0,0,Completed,NULL,System,8419
"PIPE_0529 - IPDeposit-CB--Hyderabad--NI","DS427 - ClosingBalance-Hyderabad-NI","6. IP Deposit _Hyderguda Q1-25.xlsx","2025-07-23 19:46:59","2025-07-23 19:46:59",0,0,0,0,Completed,NULL,System,8440
"PIPE_0529 - IPDeposit-CB--Hyderabad--NI","DS427 - ClosingBalance-Hyderabad-NI","6. IP Deposit_DRDO Q1-25.xlsx","2025-07-24 16:34:03","2025-07-24 16:34:03",0,0,0,0,Completed,NULL,System,8471
"PIPE_0528 - IPRefund-CB-Hyderabad--NI","DS427 - ClosingBalance-Hyderabad-NI","7. IP Refund _Secunderabad Q1-25.xlsx","2025-07-23 19:13:21","2025-07-23 19:13:21",0,0,0,0,Completed,NULL,System,8420
"PIPE_0528 - IPRefund-CB-Hyderabad--NI","DS427 - ClosingBalance-Hyderabad-NI","7. IP Refund _Hyderguda Q1-25.xlsx","2025-07-23 19:47:06","2025-07-23 19:47:06",0,0,0,0,Completed,NULL,System,8441
"PIPE_0528 - IPRefund-CB-Hyderabad--NI","DS427 - ClosingBalance-Hyderabad-NI","7. IP Refund_DRDO Q1-25.xlsx","2025-07-24 16:41:55","2025-07-24 16:41:55",0,0,0,0,Completed,NULL,System,8475
"PIPE_0527 - IPDeposit-CB--Bangalore--NI","DS441 - ClosingBalance-Bangalore--NI","6. IP Deposit_BG Road  Q1-25.xlsx","2025-07-28 12:28:59","2025-07-28 12:29:00",0,0,0,0,Completed,NULL,System,8610
"PIPE_0527 - IPDeposit-CB--Bangalore--NI","DS441 - ClosingBalance-Bangalore--NI","6. IP Deposit_Jayanagar Q1-25.xlsx","2025-07-28 12:53:25","2025-07-28 12:53:25",0,0,0,0,Completed,NULL,System,8629
"PIPE_0527 - IPDeposit-CB--Bangalore--NI","DS441 - ClosingBalance-Bangalore--NI","6. IP Deposit_SHESHADRIPURAM Q1-25.xlsx","2025-07-28 15:30:32","2025-07-28 15:30:32",0,0,0,0,Completed,NULL,System,8652
"PIPE_0526 - IPRefund-CB-Bangalore--NI	","DS441 - ClosingBalance-Bangalore--NI","7. IP Refund_BG Road Q1-25.xlsx","2025-07-28 12:29:08","2025-07-28 12:29:08",0,0,0,0,Completed,NULL,System,8611
"PIPE_0526 - IPRefund-CB-Bangalore--NI	","DS441 - ClosingBalance-Bangalore--NI","7. IP Refund_Jayanagar Q1-25.xlsx","2025-07-28 12:53:31","2025-07-28 12:53:31",0,0,0,0,Completed,NULL,System,8630
"PIPE_0526 - IPRefund-CB-Bangalore--NI	","DS441 - ClosingBalance-Bangalore--NI","7. IP Refund_Sheshadripuram Q1-25.xlsx","2025-07-28 15:30:41","2025-07-28 15:30:42",0,0,0,0,Completed,NULL,System,8653
"PIPE_0517 - ReceiptReport-Secunderabad-NI 24-25 Q4","DS490 - ReceiptReport-Secunderabad-NI","2 All Receipt Report with Identifer Tracker _Secunderabad - Arp-May 25 Q1-25.xlsx","2025-07-23 19:09:11","0001-01-01 00:00:00",0,0,0,0,Failed,"There isn't a worksheet named 'Sheet1'.",System,8407
"PIPE_0517 - ReceiptReport-Secunderabad-NI 24-25 Q4","DS490 - ReceiptReport-Secunderabad-NI","2 All Receipt Report with Identifer Tracker _Secunderabad - Arp-May 25 Q1-25.xlsx","2025-07-23 19:11:21","2025-07-23 19:11:27",0,0,0,0,Completed,NULL,System,8408
"PIPE_0517 - ReceiptReport-Secunderabad-NI 24-25 Q4","DS490 - ReceiptReport-Secunderabad-NI","2 All Receipt Report with Identifer Tracker _Secunderabad - Jun 25 Q1-25.xlsx","2025-07-23 19:11:39","2025-07-23 19:11:42",0,0,0,0,Completed,NULL,System,8409
"PIPE_0516 - ReceiptReport-DRDO-NI 24-25 Q4","DS488 - ReceiptReport-DRDO-NI","2 All Receipt Report with Identifer Tracker - Hyderabad PG_DRDO_Jun 25 Q1-25.xlsx","2025-07-24 16:24:19","0001-01-01 00:00:00",0,0,0,0,Failed,"There isn't a worksheet named 'Sheet1'.",System,8456
"PIPE_0516 - ReceiptReport-DRDO-NI 24-25 Q4","DS488 - ReceiptReport-DRDO-NI","2 All Receipt Report with Identifer Tracker - Hyderabad PG_DRDO_Jun 25 Q1-25 -1.xlsx","2025-07-24 16:26:15","2025-07-24 16:26:19",0,0,0,0,Completed,NULL,System,8457
"PIPE_0516 - ReceiptReport-DRDO-NI 24-25 Q4","DS488 - ReceiptReport-DRDO-NI","2 All Receipt Report with Identifer Tracker _ DRDO - Apr-May 25.xlsx","2025-07-24 16:26:27","2025-07-24 16:26:35",0,0,0,0,Completed,NULL,System,8458
"PIPE_0515 - ReceiptReport-Hyderguda-NI 24-25 Q4","DS486 - ReceiptReport-Hyderguda-NI","2 All Receipt Report with Identifer Tracke _Hyderguda - Jun 25 Q1-25.xlsx","2025-07-23 19:28:32","0001-01-01 00:00:00",0,0,0,0,Failed,"There isn't a worksheet named 'Sheet1'.",System,8427
"PIPE_0515 - ReceiptReport-Hyderguda-NI 24-25 Q4","DS486 - ReceiptReport-Hyderguda-NI","2 All Receipt Report with Identifer Tracke _Hyderguda - Jun 25 Q1-25.xlsx","2025-07-23 19:37:18","2025-07-23 19:37:21",0,0,0,0,Completed,NULL,System,8428
"PIPE_0515 - ReceiptReport-Hyderguda-NI 24-25 Q4","DS486 - ReceiptReport-Hyderguda-NI","2 All Receipt Report with Identifer Tracker _Hyderguda - Apr - May 25 Q1-25.xlsx","2025-07-23 19:37:29","2025-07-23 19:37:35",0,0,0,0,Completed,NULL,System,8429
"PIPE_0515 - ReceiptReport-Hyderguda-NI 24-25 Q4","DS486 - ReceiptReport-Hyderguda-NI","2 All Receipt Report with Identifer Tracke _Hyderguda - Jun 25 Q1-25 - 1.xlsx","2025-07-25 16:22:07","2025-07-25 16:22:11",0,0,0,0,Completed,NULL,System,8577
"PIPE_0514 - ReceiptReport-Nellore-NI 24-25 Q4","DS484 - ReceiptReport-Nellore-NI","2. All Receipt Report with Identifer Tracker _Nellore - Apr-Jun25 Q1-25.xlsx","2025-07-25 14:57:29","0001-01-01 00:00:00",0,0,0,0,Failed,"There isn't a worksheet named 'Sheet1'.",System,8553
"PIPE_0514 - ReceiptReport-Nellore-NI 24-25 Q4","DS484 - ReceiptReport-Nellore-NI","2. All Receipt Report with Identifer Tracker _Nellore - Apr-Jun25 Q1-25.xlsx","2025-07-25 14:59:35","2025-07-25 15:00:04",0,0,0,0,Completed,NULL,System,8554
"PIPE_0512 - ReceiptReport-Bhubaneshwar-NI 24-25 Q4","DS470 - ReceiptReport-Bhubaneshwar-NI","2. All Receipt Report with Identifer Tracker _ Bhubaneswar Apr - June 25.xlsx","2025-07-24 16:43:13","2025-07-24 16:43:59",0,0,0,0,Completed,NULL,System,8476
"PIPE_0511 - ReceiptReport-Rourkela-NI 24-25 Q4","DS466 - ReceiptReport-Rourkela-NI","2. All Receipt Report with Identifer Tracker _Rourkela - Apr-May25 Q1-25.xlsx","2025-07-25 12:49:40","0001-01-01 00:00:00",0,0,0,0,Failed,"There isn't a worksheet named 'Sheet1'.",System,8530
"PIPE_0511 - ReceiptReport-Rourkela-NI 24-25 Q4","DS466 - ReceiptReport-Rourkela-NI","2. All Receipt Report with Identifer Tracker _Rourkela - Apr-May25 Q1-25.xlsx","2025-07-25 12:51:14","2025-07-25 12:51:21",0,0,0,0,Completed,NULL,System,8531
"PIPE_0511 - ReceiptReport-Rourkela-NI 24-25 Q4","DS466 - ReceiptReport-Rourkela-NI","2. All Receipt Report with Identifer Tracker _Rourkela - Jun25 Q1-25.xlsx","2025-07-25 12:51:30","2025-07-25 12:51:33",0,0,0,0,Completed,NULL,System,8532
"PIPE_0510 - ReceiptReport-Sheshadripuram-NI 24-25 Q4","DS435 - ReceiptReport-Sheshadripuram-NI","2. All Receipt Report with Identifer Tracker _ Sheshadripuram - Apr - May 25 Q1-25.xlsx","2025-07-28 15:25:44","0001-01-01 00:00:00",0,0,0,0,Failed,"There isn't a worksheet named 'Sheet1'.",System,8639
"PIPE_0510 - ReceiptReport-Sheshadripuram-NI 24-25 Q4","DS435 - ReceiptReport-Sheshadripuram-NI","2. All Receipt Report with Identifer Tracker _ JayaNagar - June 25 Q1-25.xlsx","2025-07-28 15:09:50","2025-07-28 15:09:55",0,0,0,0,Completed,NULL,System,8635
"PIPE_0510 - ReceiptReport-Sheshadripuram-NI 24-25 Q4","DS435 - ReceiptReport-Sheshadripuram-NI","2. All Receipt Report with Identifer Tracker_ JayaNagar - Apr - May 25 Q1-25.xlsx","2025-07-28 15:10:04","2025-07-28 15:10:13",0,0,0,0,Completed,NULL,System,8636
"PIPE_0510 - ReceiptReport-Sheshadripuram-NI 24-25 Q4","DS435 - ReceiptReport-Sheshadripuram-NI","2. All Receipt Report with Identifer Tracker _ Sheshadripuram - Apr - May 25 Q1-25.xlsx","2025-07-28 15:28:01","2025-07-28 15:28:20",0,0,0,0,Completed,NULL,System,8640
"PIPE_0510 - ReceiptReport-Sheshadripuram-NI 24-25 Q4","DS435 - ReceiptReport-Sheshadripuram-NI","2. All Receipt Report with Identifer Tracker _ Sheshadripuram - June 25 Q1-25.xlsx","2025-07-28 15:28:29","2025-07-28 15:28:38",0,0,0,0,Completed,NULL,System,8641
"PIPE_0509 - ReceiptReport-Bannerghatta-NI 24-25 Q4","DS431 - ReceiptReport-Bannerghatta-NI","2. All Receipt Report with Identifer Tracker _ BG Road - Apr - May 25 Q1-25.xlsx","2025-07-28 12:22:46","2025-07-28 12:23:35",0,0,0,0,Completed,NULL,System,8596
"PIPE_0509 - ReceiptReport-Bannerghatta-NI 24-25 Q4","DS431 - ReceiptReport-Bannerghatta-NI","2. All Receipt Report with Identifer Tracker _ BG Road - June 25 Q1-25.xlsx","2025-07-28 12:23:43","2025-07-28 12:24:08",0,0,0,0,Completed,NULL,System,8597
"PIPE_0508 - ReceiptReport-Jayanagar-NI 24-25 Q4","DS429 - ReceiptReport-Jayanagar-NI","2. All Receipt Report with Identifer Tracker _ JayaNagar - June 25 Q1-25.xlsx","2025-07-28 12:45:35","0001-01-01 00:00:00",0,0,0,0,Failed,"There isn't a worksheet named 'Sheet1'.",System,8615
"PIPE_0508 - ReceiptReport-Jayanagar-NI 24-25 Q4","DS429 - ReceiptReport-Jayanagar-NI","2. All Receipt Report with Identifer Tracker _ JayaNagar - June 25 Q1-25.xlsx","2025-07-28 12:51:06","2025-07-28 12:51:15",0,0,0,0,Completed,NULL,System,8616
"PIPE_0508 - ReceiptReport-Jayanagar-NI 24-25 Q4","DS429 - ReceiptReport-Jayanagar-NI","2. All Receipt Report with Identifer Tracker_ JayaNagar - Apr - May 25 Q1-25.xlsx","2025-07-28 12:51:22","2025-07-28 12:51:41",0,0,0,0,Completed,NULL,System,8617
"PIPE_0499 - ReceiptReport-Greams Road-NI 24-25 Q4","DS413 - ReceiptReport-Greams Road-NI","2. All Receipt Report with Identifer Tracker _GreamsRoad - Apr-May25 Q1-25.xlsx","2025-07-30 14:55:19","2025-07-30 14:57:03",0,0,0,0,Completed,NULL,System,8762
"PIPE_0499 - ReceiptReport-Greams Road-NI 24-25 Q4","DS413 - ReceiptReport-Greams Road-NI","2. All Receipt Report with Identifer Tracker _GreamsRoad - Jun25 Q1-25.xlsx","2025-07-30 14:57:14","2025-07-30 14:58:05",0,0,0,0,Completed,NULL,System,8763
"PIPE_0497 - ReceiptReport-Proton-NI 24-25 Q4","DS411 - ReceiptReport-Proton-NI","2. All Receipt Report with Identifer Tracker _Proton-Apr-May25 Q1-25.xlsx","2025-07-29 15:07:42","2025-07-29 15:07:53",0,0,0,0,Completed,NULL,System,8722
"PIPE_0497 - ReceiptReport-Proton-NI 24-25 Q4","DS411 - ReceiptReport-Proton-NI","2. All Receipt Report with Identifer Tracker _Proton-Jun25 Q1-25.xlsx","2025-07-29 15:08:02","2025-07-29 15:08:07",0,0,0,0,Completed,NULL,System,8723
"PIPE_0496 - ReceiptReport-Teynampet-NI 24-25 Q4","DS409 - ReceiptReport-Teynampet-NI","2. All Receipt Report with Identifer Tracker _Women&Child - Apr-May25 Q1-25.xlsx","2025-08-02 12:42:04","2025-08-02 12:42:08",0,0,0,0,Completed,NULL,System,8957
"PIPE_0496 - ReceiptReport-Teynampet-NI 24-25 Q4","DS409 - ReceiptReport-Teynampet-NI","2. All Receipt Report with Identifer Tracker _Women&Child -Jun25 Q1-25.xlsx","2025-08-02 12:42:15","2025-08-02 12:42:17",0,0,0,0,Completed,NULL,System,8958
"PIPE_0496 - ReceiptReport-Teynampet-NI 24-25 Q4","DS409 - ReceiptReport-Teynampet-NI","2. All Receipt Report with Identifer Tracker _Teynampet - Apr-May25 Q1-25.xlsx","2025-08-02 12:43:00","2025-08-02 12:43:27",0,0,0,0,Completed,NULL,System,8959
"PIPE_0496 - ReceiptReport-Teynampet-NI 24-25 Q4","DS409 - ReceiptReport-Teynampet-NI","2. All Receipt Report with Identifer Tracker _Teynampet - Jun25 Q1-25.xlsx","2025-08-02 12:43:36","2025-08-02 12:43:48",0,0,0,0,Completed,NULL,System,8962
"PIPE_0495 - ReceiptReport-OneMH-NI 24-25 Q4","DS407 - ReceiptReport-OneMH-NI","2. All Receipt Report with Identifer Tracker _OneMH - Apr-May25.xlsx","2025-08-01 15:07:55","2025-08-01 15:07:58",0,0,0,0,Completed,NULL,System,8915
"PIPE_0495 - ReceiptReport-OneMH-NI 24-25 Q4","DS407 - ReceiptReport-OneMH-NI","2. All Receipt Report with Identifer Tracker _OneMH - Jun25.xlsx","2025-08-01 15:08:04","2025-08-01 15:08:05",0,0,0,0,Completed,NULL,System,8916
"PIPE_0494 - ReceiptReport-Kotturpuram-NI 24-25 Q4","DS405 - ReceiptReport-Kotturpuram-NI","2. All Receipt Report with Identifer Tracker _Kotturpuram Apr-May 25.xlsx","2025-07-25 11:58:52","2025-07-25 11:58:54",0,0,0,0,Completed,NULL,System,8518
"PIPE_0494 - ReceiptReport-Kotturpuram-NI 24-25 Q4","DS405 - ReceiptReport-Kotturpuram-NI","2. All Receipt Report with Identifer Tracker _Kotturpuram - Jun 25.xlsx","2025-07-25 11:59:17","2025-07-25 11:59:19",0,0,0,0,Completed,NULL,System,8519
"PIPE_0493 - ReceiptReport-HeartCenter-NI 24-25 Q4","DS403 - ReceiptReport-HeartCenter-NI","2. All Receipt Report with Identifer Tracker _HeartCenter - Apr-Jun 25 Q1-25.xlsx","2025-07-31 15:14:15","0001-01-01 00:00:00",0,0,0,0,Failed,"There isn't a worksheet named 'Sheet1'.",bala,8835
"PIPE_0493 - ReceiptReport-HeartCenter-NI 24-25 Q4","DS403 - ReceiptReport-HeartCenter-NI","2. All Receipt Report with Identifer Tracker _HeartCenter - Apr-Jun 25 Q1-25.xlsx","2025-07-31 15:18:36","0001-01-01 00:00:00",0,0,0,0,Failed,NULL,bala,8838
"PIPE_0493 - ReceiptReport-HeartCenter-NI 24-25 Q4","DS403 - ReceiptReport-HeartCenter-NI","2. All Receipt Report with Identifer Tracker _HeartCenter - Apr-Jun 25 Q1-25.xlsx","2025-07-31 15:26:14","2025-07-31 15:26:20",0,0,0,0,Completed,NULL,System,8840
"PIPE_0492 - ReceiptReport-Women&Child-NI 24-25 Q4","DS401 - ReceiptReport-Women&Child-NI","2. All Receipt Report with Identifer Tracker _Women&Child - Apr-May25 Q1-25.xlsx","2025-08-02 12:30:47","0001-01-01 00:00:00",0,0,0,0,Failed,"There isn't a worksheet named 'Sheet1'.",System,8940
"PIPE_0492 - ReceiptReport-Women&Child-NI 24-25 Q4","DS401 - ReceiptReport-Women&Child-NI","2. All Receipt Report with Identifer Tracker _Women&Child - Apr-May25 Q1-25.xlsx","2025-08-02 12:32:15","2025-08-02 12:32:24",0,0,0,0,Completed,NULL,System,8941
"PIPE_0492 - ReceiptReport-Women&Child-NI 24-25 Q4","DS401 - ReceiptReport-Women&Child-NI","2. All Receipt Report with Identifer Tracker _Women&Child -Jun25 Q1-25.xlsx","2025-08-02 12:32:31","2025-08-02 12:32:35",0,0,0,0,Completed,NULL,System,8942
